股票代码,股票名称,生效日期,失效日期
600977,中国电影,2018-01-02,2018-01-31
600999,招商证券,2018-01-02,2018-01-31
601006,大秦铁路,2018-01-02,2018-01-31
601009,南京银行,2018-01-02,2018-01-31
601012,隆基股份,2018-01-02,2018-01-31
601018,宁波港,2018-01-02,2018-01-31
601021,春秋航空,2018-01-02,2018-01-31
601088,中国神华,2018-01-02,2018-01-31
601099,太平洋,2018-01-02,2018-01-31
601111,中国国航,2018-01-02,2018-01-31
601117,中国化学,2018-01-02,2018-01-31
601118,海南橡胶,2018-01-02,2018-01-31
601155,新城控股,2018-01-02,2018-01-31
601163,三角轮胎,2018-01-02,2018-01-31
601166,兴业银行,2018-01-02,2018-01-31
601169,北京银行,2018-01-02,2018-01-31
601186,中国铁建,2018-01-02,2018-01-31
601198,东兴证券,2018-01-02,2018-01-31
601211,国泰君安,2018-01-02,2018-01-31
601212,白银有色,2018-01-02,2018-01-31
601216,君正集团,2018-01-02,2018-01-31
601225,陕西煤业,2018-01-02,2018-01-31
601228,广州港,2018-01-02,2018-01-31
601229,上海银行,2018-01-02,2018-01-31
601288,农业银行,2018-01-02,2018-01-31
601318,中国平安,2018-01-02,2018-01-31
601328,交通银行,2018-01-02,2018-01-31
601333,广深铁路,2018-01-02,2018-01-31
601336,新华保险,2018-01-02,2018-01-31
601375,中原证券,2018-01-02,2018-01-31
601377,兴业证券,2018-01-02,2018-01-31
601390,中国中铁,2018-01-02,2018-01-31
601398,工商银行,2018-01-02,2018-01-31
601555,东吴证券,2018-01-02,2018-01-31
601600,中国铝业,2018-01-02,2018-01-31
601601,中国太保,2018-01-02,2018-01-31
601607,上海医药,2018-01-02,2018-01-31
601608,中信重工,2018-01-02,2018-01-31
601611,中国核建,2018-01-02,2018-01-31
601618,中国中冶,2018-01-02,2018-01-31
601628,中国人寿,2018-01-02,2018-01-31
601633,长城汽车,2018-01-02,2018-01-31
601668,中国建筑,2018-01-02,2018-01-31
601669,中国电建,2018-01-02,2018-01-31
601688,华泰证券,2018-01-02,2018-01-31
601718,际华集团,2018-01-02,2018-01-31
601727,上海电气,2018-01-02,2018-01-31
601766,中国中车,2018-01-02,2018-01-31
601788,光大证券,2018-01-02,2018-01-31
601800,中国交建,2018-01-02,2018-01-31
601818,光大银行,2018-01-02,2018-01-31
601857,中国石油,2018-01-02,2018-01-31
601866,中远海发,2018-01-02,2018-01-31
601872,招商轮船,2018-01-02,2018-01-31
601877,正泰电器,2018-01-02,2018-01-31
601878,浙商证券,2018-01-02,2018-01-31
601881,中国银河,2018-01-02,2018-01-31
601888,中国国旅,2018-01-02,2018-01-31
601898,中煤能源,2018-01-02,2018-01-31
601899,紫金矿业,2018-01-02,2018-01-31
601901,方正证券,2018-01-02,2018-01-31
601919,中远海控,2018-01-02,2018-01-31
601933,永辉超市,2018-01-02,2018-01-31
601939,建设银行,2018-01-02,2018-01-31
601958,金钼股份,2018-01-02,2018-01-31
601966,玲珑轮胎,2018-01-02,2018-01-31
601985,中国核电,2018-01-02,2018-01-31
601988,中国银行,2018-01-02,2018-01-31
601989,中国重工,2018-01-02,2018-01-31
601991,大唐发电,2018-01-02,2018-01-31
601992,金隅集团,2018-01-02,2018-01-31
601997,贵阳银行,2018-01-02,2018-01-31
601998,中信银行,2018-01-02,2018-01-31
603160,汇顶科技,2018-01-02,2018-01-31
603799,华友钴业,2018-01-02,2018-01-31
603833,欧派家居,2018-01-02,2018-01-31
603858,步长制药,2018-01-02,2018-01-31
603993,洛阳钼业,2018-01-02,2018-01-31
000001,平安银行,2018-02-01,2018-02-28
000002,万科A,2018-02-01,2018-02-28
000008,神州高铁,2018-02-01,2018-02-28
000060,中金岭南,2018-02-01,2018-02-28
000063,中兴通讯,2018-02-01,2018-02-28
000069,华侨城A,2018-02-01,2018-02-28
000100,TCL集团,2018-02-01,2018-02-28
000157,中联重科,2018-02-01,2018-02-28
000166,申万宏源,2018-02-01,2018-02-28
000333,美的集团,2018-02-01,2018-02-28
000338,潍柴动力,2018-02-01,2018-02-28
000402,金融街,2018-02-01,2018-02-28
000413,东旭光电,2018-02-01,2018-02-28
000415,渤海金控,2018-02-01,2018-02-28
000423,东阿阿胶,2018-02-01,2018-02-28
000425,徐工机械,2018-02-01,2018-02-28
000503,国新健康,2018-02-01,2018-02-28
000538,云南白药,2018-02-01,2018-02-28
000540,中天金融,2018-02-01,2018-02-28
000559,万向钱潮,2018-02-01,2018-02-28
000568,泸州老窖,2018-02-01,2018-02-28
000623,吉林敖东,2018-02-01,2018-02-28
000625,长安汽车,2018-02-01,2018-02-28
000627,天茂集团,2018-02-01,2018-02-28
000630,铜陵有色,2018-02-01,2018-02-28
000651,格力电器,2018-02-01,2018-02-28
000671,阳光城,2018-02-01,2018-02-28
000686,东北证券,2018-02-01,2018-02-28
000709,河钢股份,2018-02-01,2018-02-28
000723,美锦能源,2018-02-01,2018-02-28
000725,京东方A,2018-02-01,2018-02-28
000728,国元证券,2018-02-01,2018-02-28
000738,航发控制,2018-02-01,2018-02-28
